wc_id,type,parent_id,sku,meta,status,name
1348,simple,"",129-03050,90215,publish,"Laerdal Little Junior QCPR (pack of 4) Dark Skin"
1349,simple,"",170-30050,90147,publish,"SkillGuide for QCPR"
1350,simple,"",123-60750,90223,publish,"Laerdal Little Anne QCPR Upgrade Kit"
1352,simple,"",124-50450,90253,publish,"Laerdal Little Anne 4-pack carrying case"
1359,simple,"",A234404000,77801,publish,"Ambu® Man Instrument Next Generation Manikin"
1360,simple,"",A234407000,10522,publish,"Ambu® Man W Next Generation"
1362,simple,"",70202,70202,publish,"Ambu Man Defib Wireless"
1363,simple,"",A284407000,10521,publish,"Ambu Man Advanced Wireless I.V."
1364,simple,"",A268005000,10526,publish,"Ambu Man Basic"
1365,simple,"",A256001000,10502,publish,"Ambu CPR Baby with Free Transport Bag"
1366,simple,"",256000703,10755,publish,"Ambu Baby face Mask 5"
1367,simple,"",256000702,10513,publish,"Amby Baby Airways"
1403,simple,"",A282010000,90990,publish,"Ambu Junior"
1404,simple,"",234000704,10504,publish,"Ambu Man Arms"
1405,simple,"",234000786,70222,publish,"Ambu Legs with trousers and bag"
1408,simple,"",03-DAC-100,91116,publish,"Defibtech soft carrying case"
1409,simple,"",03-DAC-2310,10787,publish,"Defibtech Lifeline View carrier bag with viewport"
1410,simple,"",uwb,91104,publish,"AED Ilcor universal wall rack"
1411,simple,"",8000-0809-01,10655,publish,"Zoll AED Plus Wall mounting bracket"
1412,simple,"",AED.safe.005,10788,publish,"AED Safeset Ilcor"
1413,simple,"",102-00001,90192,publish,"Laerdal Choking Charlie"
1414,simple,"",LV01,80617,publish,"LifeVac Home Kit"
1415,simple,"",ACT.A01,90170,publish,"Act Fast Anti Choking Trainer"
1416,simple,"",AF-101-Y,90170P,publish,"Act Fast Anti-Choking Trainer for Children"
1417,simple,"",11141-000165,10263,publish,"Physio-Control Lifepak CR2 Battery"
1418,simple,"",10.212,10212,publish,"Heartsine Samaritan PAD-PAK-04 (Paediatric)"
1419,simple,"",IM-17,10531,publish,"Brayden baby"
1420,simple,"",IM16-R,10530,publish,"Brayden PRO Manikin With Bluetooth App Support and LED lighting"
1421,simple,"",989803149981,10244,publish,"Philips Heartstart FR3 Adult Smart Electrode Pads III"
1422,simple,"",LV08,80618,publish,"Lifevac Wall Mounting Kit"
1423,simple,"",A268003000,70117,publish,"Ambu Uniman SAM"
1424,simple,"",100-1615U,10573,publish,"Ambu Choking Young Adult"
1425,simple,"",100-1602U,10508,publish,"Adult Choking Manikin with Carry Bag"
1426,simple,"",133-01050,90193,publish,"Laerdal Little Baby QCPR - Light skin"
1427,simple,"",136-01050,90285,publish,"Laerdal Little Family QCPR"
1428,simple,"",134-01050,90282,publish,"Laerdal Little Baby QCPR 4-pack - Light Skin"
1467,simple,"",172-00160,90210,publish,"Resusci Anne QCPR Airway Head Torso with Carry Bag"
1468,simple,"",172-01260,90211,publish,"Resusci Anne QCPR Airway Head Full Body with Trolley Bag - 172-01260"
1469,simple,"",173-00160,91966,publish,"Resusci Anne QCPR AED Torso with Carry Bag - 173-00160"
1470,simple,"",173-01260,90295,publish,"Resusci Anne QCPR AED Full Body with Trolley Bag - 173-01260"
1471,simple,"",174-00160,90710,publish,"Resusci Anne QCPR AED Airway Head Torso with Carry Bag - 174-00160"
1472,simple,"",174-01260,91939,publish,"Resusci Anne QCPR AED Airway Head Full Body with Trolley Bag - 174-01260"
1473,simple,"",03-DDP-100,10213,publish,"Defibtech Lifeline AED Adult Defibrillation Pads Package (1 set)"
1474,simple,"",03-DDP-2002,10216,publish,"Defibtech Lifeline View, ECG and PRO Paediatric Defibrillation Pads"
1475,simple,"",03-DCF-210,10251,publish,"Defibtech Lifeline & Lifeline Auto Battery Extra (7- Years)"
1476,simple,"",03-DCF-2003,10253,publish,"Defibtech Lifeline View, PRO & ECG 4 Year Battery Pack"
1477,simple,"",03-HAC-9V,10254,publish,"Defibtech Lifeline 9v Lithium Battery"
1479,simple,"",11250-000015,10367,publish,"Physio-Control CR Plus trainingpads"
1480,simple,"",11250-000012,10363,publish,"Physio-Control CR Plus Training Pad Kit"
1481,simple,"",11250-000045,10382,publish,"Physio-Control Lifepak CR Plus/1000P Kinder Trainingspads"
1482,simple,"",TR0508,75001,publish,"Bleeding Control Kit"
1483,simple,"",234000702,10503,publish,"Ambu 100 Airways for the AMBU Man"
1484,simple,"",234000703,10505,publish,"Ambu Man Face Masks"
1485,simple,"",234000620,70233,publish,"Jogging Suit Jacket for Ambu Man Instrument and Wireless"
1524,simple,"",282010501,10512,publish,"Ambu Junior Airways"
1525,simple,"",100-2028u,10519,publish,"Ambu Junior mouth/nose parts (10 pieces)"
1526,simple,"",282010502,10520,publish,"Ambu Junior sealing ring (10 pieces)"
1527,simple,"",310220,90236,publish,"Laerdal hand-painted Face Mask (6 pcs)"
1528,simple,"",152250,90161,publish,"Laerdal Resusci Anne Airway (24 pcs)"
1529,simple,"",310210,90234,publish,"Laerdal Resusci Anne / Little Anne Face Masks - White (Pack of 6)"
1530,simple,"",310215,90235,publish,"Laerdal Resusci Anne / Little Anne Face Masks - Dark (Pack of 6)"
1531,simple,"",020300,90126,publish,"Laerdal Little Anne Airway complete - pack of 24"
1532,simple,"",020301,90248,publish,"Laerdal Little Anne QCPR Airway complete - pack of 96"
1533,simple,"",183210,90246,publish,"Laerdal Junior Airway complete (pack of 25)"
1534,simple,"",183211,90245,publish,"Laerdal Junior Airway complete (pack of 100)"
1535,simple,"",183015,90233,publish,"Laerdal Junior Face - Dark Skin (pack of 6)"
1536,simple,"",183010,90232,publish,"Laerdal Junior Face (pack of 6)"
1537,simple,"",133-10150,90288,publish,"Laerdal Little Baby QCPR Airway (pack of 24)"
1538,simple,"",130-10450,90230,publish,"Laerdal Baby Anne Face Mask - Light Skin (pack of 6)"
1539,simple,"",130-10550,90231,publish,"Laerdal Baby Anne Face Mask - Dark Skin (pack of 6)"
1540,simple,"",11260-000047,70135,publish,"Physio Control Lifepak CR2 Carry Case"
1541,simple,"",11250-000140,10362,publish,"Physio-Control Lifepak CR2 Training Electrodes (5 pack)"
1543,simple,"",DDP-101TR,10566,publish,"Defibtech Training Pads"
1544,simple,"",DDP-105TR,10567,publish,"Defibtech Replacement Training Pads (5 sets)"
1546,simple,"",03-DBP-RC2,91109,publish,"Rechargeable battery for Defibtech trainer"
1548,simple,"",03-DTR-G2001ZZ,10558,publish,"Defibtech Lifeline View Training Electrodes"
1549,simple,"",9145-301,10255,publish,"Cardiac Science Powerheart G3 PRO Battery"
1550,simple,"",8900-000284,10678,publish,"Zoll AED 3 Training CPR Uni-Padz"
1586,simple,"",4-07-0025,10615,publish,"Schiller Fred PA-1 / DefiSign Life Battery"
1587,simple,"",161-10550,90128,publish,"Resusci Baby Disposable Complete Airway"
1589,simple,"",312000,90289,publish,"Laerdal Resusci Anne Rescue module, with movable arms and legs"
1591,simple,"",03-DTR-G2051ZZ,10557,publish,"Defibtech Lifeline VIEW AED Trainer Replacement Adult Training Electrode Pads 5-Pack"
1592,simple,"",8028-000010,10663,publish,"CPR Uni-padz Training Electrode Harness for the ZOLL AED 3 Trainer"
1593,simple,"",8028-000013,10677,publish,"ZOLL AED 3 Trainer CPR Uni-Padz Electrode Replacement Liners"
1594,simple,"",8028-000012,10750,publish,"ZOLL AED 3 Trainer CPR Uni-Padz Electrode gels (5 pc)"
1595,simple,"",TQ.B.001,TQ.B.001,publish,"Training Tourniquet Blue"
1596,simple,"",TQ.O.001,TQ.O.001,publish,"Tourniquet - Orange"
1597,simple,"",CR123.10,10260,publish,"Budget Pack Batteries for ZOLL AED Plus"
1601,simple,"",8028-000001-16,91111,publish,"ZOLL AED 3 trainer"
1602,simple,"",10333,10333,publish,"Heartsine Samaritan 500 PAD training unit"
1603,simple,"",10313,10313,publish,"Heartsine Samaritan PAD 350P training unit"
1604,simple,"",10.318,10318,publish,"HeartSine™ samaritan® PAD 350p Trainer Battery/Electrode Pak"
1605,simple,"",10.320,10320,publish,"Heartsine Samaritan 350P/500P Training Pads (10 in pack)"
1606,simple,"",IM13-SA01,10535,publish,"Brayden Replacement Face Skin"
1607,simple,"",IM13-OA07,10534,publish,"Brayden replacement lungs (pack of 24)"
1608,simple,"",8000-001255,10665,publish,"ZOLL 3 wall bracket (without bag)"
1609,simple,"",10365,10365,publish,"Physio-Control Lifepak 500/1000 Training Pads"
1611,simple,"",11250-000164,10580,publish,"LifePak CR2 Trainer"
1612,simple,"",11250-000145,10373,publish,"Physio-Control Lifepak CR2 Electrodes tray adult"
1613,simple,"",60213,60213,publish,"ARKY outdoor cabinet with aluminium inlay, alarm and heating elements (24V)"
1627,simple,"",03-DCF-E200,10252,publish,"Defibtech Lifeline & Lifeline Auto Battery (5- Years)"
1628,simple,"",128-60750,90224,publish,"Little Junior QCPR Upgrade Kit"
1629,simple,"",989803158211,10221,publish,"Philips Heartstart FR2 Adult Electrode Pads"
1631,simple,"",989803150031,10245,publish,"Philips Heartstart FR3 Infant/ Child Key"
1632,simple,"",989803150161,10267,publish,"Philips Heartstart FR3 battery"
1633,simple,"",MR62,20015,publish,"Mindray Beneheart C-Series + D1, D3 & D6 Electrodes"
1634,simple,"",115-065054-00,10430,publish,"Mindray Battery C Serie"
1635,simple,"",103-00050,70118,publish,"Mini Anne global"
1636,simple,"",106-00550,90200,publish,"LAERDAL MINI ANNE PLUS UNICOLOR SET OF 10"
1686,simple,"",A268008000,10526-IQF,publish,"Ambu Man Basic IQF"
1687,simple,"",100-000343-00,21305,publish,"Mindray Beneheart C1 AED Trainer (multi-language)"
1689,simple,"",A256003000,10578,publish,"Ambu Baby IQF"
1690,simple,"",8000-001280,10667,publish,"ZOLL AED 3 Soft Carry Case"
1691,simple,"",8000-001468-01,10662,publish,"Rescue Backpack ZOLL AED 3"
1692,simple,"",10321,10321,publish,"Heartsine Samaritan PAD 360P Trainer"
1694,simple,"",02-DCF-E350G,10562-English,publish,"Defibtech Lifeline Trainer"
1695,simple,"",A268007000,10501,publish,"Ambu Man School 10 Pack"
1696,simple,"",268000571,268000571,publish,"AmbuMan School Face shields (10 pieces)"
1697,simple,"",268000572,10517,publish,"Ambu Man School Airways (100pc)"
1698,simple,"",268000573,10509,publish,"AMBU MAN SCHOOL ACCESSORY PACK (set of 10 pieces)"
1699,simple,"",0-21-0020,93020,publish,"Schiller Fred Easy Electrodes (Adults)"
1700,simple,"",0-21-0040,10239,publish,"Schiller Fred PA-1 / DefiSign Life / Fred EasyPort Adult Electrode Pads"
1701,simple,"",0-21-0037,11176,publish,"Schiller Fred Easy Paediatric Electrode Pads"
1702,simple,"",CUSA0601F,10273,publish,"CU Medical I-Pad NF-1200 Battery"
1703,simple,"",136-03050,91930,publish,"Laerdal Little Family QCPR (dark skin)"
1704,simple,"",133-03050,90195,publish,"Laerdal Little Baby QCPR - dark skin"
1705,simple,"",134-03050,90286,publish,"Laerdal Little Baby QCPR 4-pack - Dark Skin"
1711,simple,"",CUNFEP,10237,publish,"CU Medical I-Pad NF-1200 Adult Electrode Pads"
1712,simple,"",CUSPEPA,10779,publish,"CU Medical I-Pad SP1 Adult (and Paediatric) Electrodes"
1748,simple,"",CUA0512P,10752,publish,"CU Medical I-Pad NF-1200 Paediatric Electrode Pads"
1749,simple,"",CUSA1103BB,10264,publish,"CU Medical I-Pad SP1 Battery"
1750,simple,"",161-01260,90284,publish,"Laerdal Resusci Baby QCPR with trolley - 161-01260"
1751,simple,"",162-01260,91984,publish,"Resusci Baby QCPR AW, wireless - 	162-01260"
1752,simple,"",96343,10240,publish,"Primedic Heartsave Electrodes not Pre-Connected"
1755,simple,"",LF03750,90172,publish,"Life/Form Fat Old Fred Manikin"
1756,simple,"",130-10150,90241,publish,"Laerdal Airways Baby Anne (24 Pack)"
1757,simple,"",135-01250,93051,publish,"Little Anne Dark Skin 6-pack"
1758,simple,"",135-01350,93052,publish,"Little Anne Light Skin 6-pack"
1759,simple,"",135-01050,93050,publish,"Laerdal Little Anne Combo 6-pack"
1760,simple,"",15120103,90238,publish,"Laerdal Manikin Face Shields for Manikins, 6 X 36 Pieces"
1761,simple,"",170-01250,90278,publish,"Resusci Anne First Aid Full Body, in trolley case"
1762,simple,"",8000-001266,10676,publish,"ZOLL 3 WALL BRACKET (WITH BAG)"
1763,simple,"",60.112,60112,publish,"ARKY white metal indoor cabinet with alarm"
1766,simple,"",IM13-WHITE,10533,publish,"Brayden LIGHTS Manikin with LED lighting (WHITE)"
1767,simple,"",NKPB-2827K,10477,publish,"Nihon Kohden 2100 Battery"
1768,simple,"",BAT/AED3100,10769,publish,"Nihon Kohden 3100 Battery"
1769,simple,"",PAD/NK,10277,publish,"Nihon Kohden Electrode Pads 2100 / 3100 for Adults and Children"
1819,simple,"",123-50450,90254,publish,"Little Anne QCPR Softpack"
1820,simple,"",TQ.Z.001,TQ.Z.001,publish,"Combat Application Tourniquet - Black"
1821,simple,"",60.122,60122,publish,"ARKY green metal indoor cabinet with alarm"
1823,simple,"",4-07-0001,10261,publish,"Schiller Fred Easy Battery"
1824,simple,"",135-11050,93055,publish,"Manikin Filters 60-pack"
1825,simple,"",197-01050,90163,publish,"Laerdal AED Trainer - Single"
1827,simple,"",2.230292,10269,publish,"Schiller Fred Easyport Lithium Battery"
1828,simple,"",2.155067,11175,publish,"Schiller Fred PA-1 / DefiSign Life / Fred Easyport Paediatric Electrode Pads"
1829,simple,"",90909,90909,publish,"Universal Adult training electrodes"
1830,simple,"",9035-003,10378,publish,"New! Training electrodes for Cardiac Science Powerheart G3 trainer"
1831,simple,"",BHV.AED.01,80115,publish,"AED Pictograma 20 x 20"
1833,simple,"",80113,80113,publish,"AED Ilcor sign/sticker 10 x 10"
1834,simple,"",LV03,80616,publish,"Lifevac Travel Kit"
1836,simple,"",X3AI00-XX100,60710,publish,"Aivia IN Defibrillator Cabinet (Indoor Use)"
1837,simple,"",135-10050,93065,publish,"Little Anne Airway 6-pack for Stackable Little Anne"
1838,simple,"",70160-1,70160-GR,publish,"Ilcor Kiss of Life Pocket Mask- green"
1839,simple,"",70160,70160,publish,"Kiss of Life Pocket Mask - Ilcor Red"
1882,simple,"",35349,35349,publish,"CPR Pocket Mask in Hard Case"
1883,simple,"",135-32050,93068,publish,"Laerdal Little Anne Mouth Piece (6 Pack)"
1884,simple,"",982500,92018,publish,"Laerdal BaXstrap Spineboard"
1886,simple,"",780800,90926,publish,"Laerdal Batterij NiMH LSU"
1889,simple,"",143600,90229,publish,"Gesichtsteile Resusci Baby VE 6"
1890,simple,"",60222,60222,publish,"ARKY Core Classic"
1891,simple,"",60223,60223,publish,"ARKY Core Plus"
1893,simple,"",97846,102405,publish,"Primedic HeartSave Y/YA Lithium-Battery"
1894,simple,"",97847,11185,publish,"Primedic HeartSave Y/YA Elektrodes for Adults and Children"
1960,simple,"",03-DDP-205TR,10556,publish,"Defibtech Paediatric Replacement Training Pads (5 sets)"
1961,simple,"",12850450,90257,publish,"Laerdal Little Junior QCPR carrying case"
1962,simple,"",A284427000,70231,publish,"Ambu® Man Airway Wireless"
1963,simple,"",97085,10782,publish,"Primedic SavePads PreConnect"
1964,simple,"",P35801,SI0997,publish,"AED Ilcor Wall sign"
1965,simple,"",P35601,80134,publish,"AED pictogram panoramic"
1971,simple,"",11250-000042,10368,publish,"Physio-Control Lifepak CR Plus/LP500/LP1000 Infant Replacement Training Pads"
1990,simple,"",03-DDP-201TR,10790,publish,"Defibtech Paediatric Training Pads"
1992,simple,"",161-10005,92067,publish,"Resusci Baby Disposable Lung, Lung Foil Only (pkg. 10)"
1995,simple,"",11101-000003,10369,publish,"Replacement Training Pads for Physio-Control(Medtronic) Lifepak 500/1000 Training unit"
1999,simple,"",186002000,92032,publish,"Ambu® Airway Management Trainer"
