1752,simple,"",10240,10240
1755,simple,"",90172,90172
1756,simple,"",90241,90241
1757,simple,"",93051,93051
1758,simple,"",93052,93052
1759,simple,"",93050,93050
1760,simple,"",90238,90238
1761,simple,"",90278,90278
1762,simple,"",10676,10676
1763,simple,"",60112,60112
1766,simple,"",10533,10533
1767,simple,"",10477,10477
1768,simple,"",10769,10769
1769,simple,"",10277,10277
1819,simple,"",90254,90254
1820,simple,"",TQ.Z.001,TQ.Z.001
1821,simple,"",60122,60122
1823,simple,"",10261,10261
1824,simple,"",93055,93055
1825,simple,"",90163,90163
1827,simple,"",10269,10269
1828,simple,"",11175,11175
1829,simple,"",90909,90909
1830,simple,"",10378,10378
1831,simple,"",80115,80115
1833,simple,"",80113,80113
1834,simple,"",80616,80616
1836,simple,"",60710,60710
1837,simple,"",93065,93065
1838,simple,"",70160-GR,70160-GR
1839,simple,"",70160,70160
1882,simple,"",35349,35349
1883,simple,"",93068,93068
1884,simple,"",92018,92018
1886,simple,"",90926,90926
1889,simple,"",90229,90229
1890,simple,"",60222,60222
1891,simple,"",60223,60223
1893,simple,"",102405,102405
1894,simple,"",11185,11185
1960,simple,"",10556,10556
1961,simple,"",90257,90257
1962,simple,"",70231,70231
1963,simple,"",10782,10782
1964,simple,"",SI0997,SI0997
1965,simple,"",80134,80134
1971,simple,"",10368,10368
1990,simple,"",10790,10790
1992,simple,"",92067,92067
1995,simple,"",10369,10369
1996,simple,"",10866,10866
1997,simple,"",10861,10861
1999,simple,"",92032,92032
2000,simple,"",20345,20345
2001,simple,"",10275,10275
2002,simple,"",10189FR,10189FR
2003,simple,"",10865,10865
2004,simple,"",21304,21304
2010,simple,"",70112,70112
2016,simple,"",90242,90242
2018,simple,"",90264,90264
2044,simple,"",10596,10596
2045,simple,"",10591,10591
2046,simple,"",70182,70182
2047,simple,"",10315,10315
2048,simple,"",10317,10317
2049,simple,"",90923,90923
2050,simple,"",92042,92042
2051,simple,"",11182,11182
2052,simple,"",11183,11183
2053,simple,"",10158,10158
2054,simple,"",10157-EN,10157-EN
2065,simple,"",93090,93090
2066,simple,"",93091,93091
2102,simple,"",10299,10299
2103,simple,"",21301,21301
2104,simple,"",10437,10437
2289,simple,"",60251,60251
2291,simple,"",60250,60250
2293,simple,"",60249,60249
2297,simple,"",602505,602505
2299,simple,"",60253,60253
2301,simple,"",60255,60255
2303,simple,"",95.3000,95.3000
3071,simple,"",60212,60212
3073,simple,"",60.123,60123
3076,simple,"",60111,60111
3077,simple,"",60121,60121
3082,simple,"",60611,60611
3093,simple,"",30111,30111
3096,simple,"",30112,30112
3098,simple,"",30113,30113
3100,simple,"",30114,30114
3112,simple,"",50023,50023
3114,simple,"",50022,50022
3495,simple,"",90920,90920
3551,simple,"",70113,70113
3592,simple,"",60707,60707
3593,simple,"",60708,60708
3672,simple,"",PP-VALB-50,PP-VALB-50
3673,simple,"",PP-VAPLB-50,PP-VAPLB-50
3701,simple,"",RPP-ACASE2-1,RPP-ACASE2-1
6247,simple,"",60411,60411
6406,simple,"",PP-INSTRKIT-1-MSDS-02,PP-INSTRKIT-1-MSDS-02
6407,simple,"",PP-ISHIRT-4,PP-ISHIRT-4
6408,simple,"",PP-KPAD-24,PP-KPAD-24
1600,variable,"",10144-UK-wpbase,10144-UK
1822,variable,"",11145-EN-wpbase,11145-EN
1908,variable,"",10699-wpbase,10699
1950,variable,"",11999-wpbase,11999
1959,variable,"",11100-wpbase,11100
1969,variable,"",11186EN-wpbase,11186EN
1993,variable,"",11187EN-wpbase,11187EN
2829,variable,"",21018-UK-wpbase,21018-UK
2940,variable,"",52120-wpbase,52120
2952,variable,"",52119-wpbase,52119
2971,variable,"",11113-wpbase,11113
2976,variable,"",11123-wpbase,11123
2981,variable,"",11133-wpbase,11133
3677,variable,"",PP-UFS-50-wpbase,PP-UFS-50
3678,variable,"",PP-APFS-50-wpbase,PP-APFS-50
3683,variable,"",PP-AEDT2-100-R-wpbase,PP-AEDT2-100-R
3685,variable,"",PP-UTPAD-1-wpbase,PP-UTPAD-1
3762,variable,"",PP-AEDT2-101-wpbase,PP-AEDT2-101
3874,variable,"",PP-AEDUT-101-wpbase,PP-AEDUT-101
3949,variable,"",PP-AM-400M-MS-wpbase,PP-AM-400M-MS
3957,variable,"",PP-AM-2000-1-MS-wpbase,PP-AM-2000-1-MS
3963,variable,"",PP-AMP-100M-MS-wpbase,PP-AMP-100M-MS
3992,variable,"",PP-CM-100M-MS-wpbase,PP-CM-100M-MS
3999,variable,"",PP-CM-2000-1-MS-wpbase,PP-CM-2000-1-MS
4005,variable,"",PP-IM-100M-MS-wpbase,PP-IM-100M-MS
4012,variable,"",PP-IM-2000-1-MS-wpbase,PP-IM-2000-1-MS
